GP,LESSON
a~a,1
e~e,2
r~r,3
o~o,4
n~n,5
t~t,6
l~l,7
s~s,8
i~i,9
p~p,10
i~j,11
c~k,12
m~m,13
d~D,14
d~d,15
u~u,16
f~f,17
g~g,18
u~w,19
n~N,20
ch~C,21
ñ~J,22
s~z,23
x~Gs,24
y~H,25
g~G,26
r~R,27
b~B,28
ll~L,29
j~x,30
v~b,31
u~#,32
v~B,33
b~b,34
g~x,35
l~L,36
c~s,37
l~#,38
rr~R,39
ó~o,40
í~i,41
h~#,42
z~s,43
q~k,44
á~a,45
n~m,46
ú~u,47
é~e,48
x~G,49
t~D,50
x~s,51
y~i,52
w~B,53
hu~u,54
ha~a,55
k~k,56
ho~o,57
hi~i,58
he~e,59
qu~k,60
ee~e,61
